Student_ID,Age,Gender,Parental_Education,Family_Income_Level,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Internet_Usage_Hours,Assignments_Completed,Previous_Grades,Class_Participation,Extracurricular_Activities,Stress_Level,Teacher_Feedback_Score,Absence_Days,Performance_Level,Dropout_Risk
46,25,Male,Diploma,Medium,76.3,4.5,6.3,6.0,100.0,79,2,Yes,2,5.0,12,High,No Risk
47,21,Female,Diploma,High,78.5,6.0,7.5,3.4,83.0,75,3,No,5,3.0,7,High,No Risk
48,25,Male,High School,Low,100.0,2.9,8.3,1.6,63.0,84,4,Yes,3,1.0,13,High,No Risk
49,23,Male,High School,Low,76.3,4.1,7.6,5.1,84.0,48,6,No,6,7.0,7,Medium,Medium Risk
50,24,Male,High School,Medium,84.7,6.6,6.6,2.5,95.0,68,2,No,1,1.0,11,High,No Risk
51,24,Female,Postgraduate,Medium,85.9,3.0,8.7,0.1,69.0,85,7,No,1,8.0,8,High,No Risk
52,19,Male,Graduate,Medium,77.3,5.3,7.3,1.6,89.0,65,8,No,4,8.0,8,High,No Risk
53,20,Female,High School,Medium,81.0,2.6,10.0,2.6,41.0,73,10,Yes,6,10.0,7,Medium,No Risk
54,21,Female,High School,Medium,78.2,4.2,5.0,3.9,98.0,67,6,No,5,10.0,7,High,No Risk
55,21,Male,Graduate,High,80.2,5.3,4.9,3.8,88.0,67,5,No,1,10.0,8,High,No Risk
56,18,Female,Postgraduate,Medium,71.5,0.5,8.2,5.6,38.0,87,7,Yes,2,6.0,4,Medium,No Risk
57,22,Male,,Low,72.6,3.5,7.0,3.1,82.0,53,10,No,2,1.0,12,Medium,No Risk
58,19,Male,Diploma,Medium,78.2,5.3,8.0,2.7,46.0,71,1,Yes,1,9.0,16,High,Medium Risk
59,23,Male,Postgraduate,Medium,56.3,4.9,5.7,5.6,67.0,75,2,No,9,10.0,11,Medium,High Risk
60,23,Male,Postgraduate,Medium,94.5,3.6,7.1,5.2,86.0,84,3,Yes,3,3.0,9,High,No Risk
61,25,Female,Postgraduate,Medium,100.0,2.5,7.5,3.1,74.0,70,2,Yes,8,4.0,8,Medium,No Risk
62,23,Female,High School,Medium,79.9,5.6,6.3,4.0,95.0,85,6,No,5,1.0,9,High,No Risk
63,20,Female,High School,Medium,85.3,3.9,7.3,2.7,77.0,71,1,No,10,4.0,7,Medium,No Risk
64,25,Male,Diploma,High,89.9,5.5,5.4,1.5,75.0,74,1,No,10,4.0,10,High,No Risk
65,21,Female,High School,Medium,63.4,5.2,7.5,7.2,92.0,73,7,No,7,9.0,6,Medium,No Risk
66,20,Male,Postgraduate,Low,88.2,3.7,8.7,2.6,71.0,81,2,No,10,3.0,3,Medium,No Risk
67,25,Male,High School,Medium,73.3,6.4,5.5,4.0,76.0,79,4,No,5,2.0,7,High,No Risk
68,20,Male,Graduate,Medium,100.0,3.4,5.4,0.9,78.0,58,1,Yes,4,7.0,13,Medium,No Risk
69,18,Female,Postgraduate,High,75.9,6.6,8.4,4.8,75.0,75,8,No,2,8.0,11,High,No Risk
70,21,Female,Postgraduate,Medium,,6.9,5.4,1.5,93.0,79,10,No,6,10.0,6,High,No Risk
71,24,Male,Graduate,Medium,76.0,6.4,8.0,6.4,66.0,91,7,No,7,8.0,11,High,No Risk
72,19,Female,Postgraduate,High,100.0,4.2,7.1,6.6,64.0,59,5,No,6,3.0,10,Medium,No Risk
73,21,Female,High School,Medium,72.4,9.1,6.5,4.5,60.0,79,4,Yes,3,7.0,9,High,No Risk
74,19,Female,Diploma,Low,90.8,4.8,8.8,3.7,44.0,67,1,No,4,10.0,13,Medium,No Risk
75,23,Female,High School,Medium,84.9,4.9,8.1,3.2,98.0,74,3,No,3,9.0,11,High,No Risk
76,21,Female,Postgraduate,Medium,82.4,4.5,7.3,3.4,62.0,58,5,Yes,9,6.0,9,Medium,No Risk
77,20,Female,Postgraduate,Medium,80.5,2.5,4.4,4.2,,72,1,No,2,3.0,4,Medium,No Risk
78,19,Female,High School,High,70.7,6.8,7.9,3.7,99.0,76,9,No,3,2.0,10,High,No Risk
79,22,Male,High School,Medium,49.6,3.5,5.7,5.2,74.0,59,7,No,4,4.0,3,Medium,High Risk
80,23,Female,Diploma,Medium,89.8,6.2,6.7,1.9,84.0,91,2,Yes,5,,7,High,No Risk
81,25,Male,High School,Low,,6.6,7.0,6.1,55.0,52,9,Yes,4,10.0,12,Medium,No Risk
82,21,Female,Graduate,Low,90.9,5.6,9.3,2.8,97.0,79,3,Yes,10,5.0,5,High,No Risk
83,19,Male,High School,Medium,81.9,3.3,6.7,2.2,74.0,40,7,Yes,6,8.0,12,Medium,Medium Risk
84,24,Male,Graduate,Medium,91.2,3.9,5.3,4.1,61.0,69,10,No,4,8.0,4,Medium,No Risk
85,23,Male,Graduate,Medium,86.8,0.5,8.8,4.2,61.0,78,4,No,4,5.0,11,Medium,No Risk
86,23,Male,Diploma,Medium,50.9,4.3,7.9,0.5,100.0,81,9,No,6,8.0,3,Medium,High Risk
87,18,Male,High School,Low,84.8,5.9,7.9,2.7,67.0,71,10,Yes,4,9.0,6,High,No Risk
88,20,Male,Postgraduate,Medium,74.2,4.1,8.8,0.0,61.0,69,6,No,9,7.0,6,Medium,No Risk
89,24,Male,Graduate,Medium,90.8,3.4,9.1,2.4,70.0,79,7,No,2,8.0,10,High,No Risk
90,24,Male,Diploma,Medium,84.5,4.0,5.9,2.4,77.0,84,2,No,4,7.0,6,High,No Risk
91,21,Female,Diploma,Medium,84.6,6.7,5.3,4.0,78.0,90,9,No,5,10.0,12,High,No Risk
92,24,Female,Postgraduate,High,75.0,4.4,8.0,2.2,83.0,55,3,Yes,10,7.0,10,Medium,No Risk
93,24,Female,Graduate,Medium,68.0,7.8,6.7,2.6,80.0,69,3,No,3,2.0,8,High,No Risk
94,21,Male,Graduate,Medium,73.2,3.5,6.8,5.7,86.0,43,9,No,3,3.0,7,Medium,Medium Risk
95,25,Male,Graduate,Medium,58.2,4.9,5.7,7.0,72.0,54,3,No,4,3.0,13,Medium,Medium Risk
96,20,Female,Postgraduate,Medium,71.5,,7.7,1.9,100.0,63,7,No,7,10.0,12,Medium,No Risk
97,19,Male,High School,High,61.9,8.2,7.5,5.2,69.0,83,4,Yes,10,1.0,15,High,No Risk
98,23,Male,Graduate,Medium,62.2,4.8,6.8,4.2,96.0,66,4,No,1,3.0,4,High,No Risk
99,23,Female,Diploma,Medium,79.3,8.3,5.3,0.5,67.0,68,10,Yes,7,7.0,6,High,No Risk
100,19,Female,Graduate,Medium,83.9,3.7,8.5,2.2,55.0,76,1,Yes,6,6.0,7,Medium,No Risk
101,24,Male,,Medium,77.7,7.2,7.3,0.0,51.0,63,8,Yes,4,,7,High,No Risk
102,19,Female,Postgraduate,High,72.5,4.7,8.3,4.1,81.0,46,2,No,2,8.0,11,Medium,Medium Risk
103,24,Male,Diploma,High,67.6,6.0,4.5,1.7,93.0,62,9,No,7,1.0,8,Medium,No Risk
104,18,Female,Graduate,Low,74.5,2.3,7.1,3.7,59.0,70,8,Yes,7,1.0,6,Medium,No Risk
105,24,Male,Postgraduate,Low,69.0,5.1,6.1,7.9,63.0,78,7,No,2,9.0,7,High,No Risk
106,24,Male,Postgraduate,Medium,77.3,2.6,7.0,6.2,82.0,69,7,Yes,7,5.0,10,Medium,No Risk
107,24,Female,Graduate,Medium,61.3,5.0,8.1,2.2,76.0,78,1,Yes,6,6.0,8,Medium,No Risk
108,23,Male,High School,High,85.7,1.8,7.4,1.8,67.0,84,4,No,5,1.0,6,Medium,No Risk
109,21,Female,Diploma,Medium,71.8,4.3,,5.7,57.0,87,8,Yes,6,2.0,8,Medium,No Risk
110,23,Male,Postgraduate,High,82.1,6.5,7.0,1.8,81.0,74,6,Yes,10,3.0,9,High,No Risk
111,20,Female,Graduate,Medium,87.8,5.5,5.1,5.2,86.0,57,2,No,5,4.0,6,High,No Risk
112,24,Female,Graduate,Low,81.6,2.3,5.9,8.2,83.0,56,8,Yes,9,7.0,8,Medium,No Risk
113,22,Male,Graduate,Low,86.8,1.1,8.3,4.6,76.0,57,3,Yes,1,4.0,8,Medium,No Risk
114,21,Female,Diploma,Medium,,5.4,6.4,5.5,60.0,58,7,No,8,10.0,8,Medium,Medium Risk
115,22,Male,Diploma,Low,72.6,7.3,8.4,5.3,,73,7,No,8,3.0,9,High,No Risk
116,22,Male,Graduate,Medium,90.1,2.8,8.0,2.6,,97,3,Yes,8,4.0,3,High,No Risk
117,18,Male,High School,Medium,83.6,8.3,8.1,4.0,56.0,75,1,No,4,1.0,10,High,No Risk
118,19,Female,Graduate,Medium,98.3,4.5,7.4,1.9,71.0,71,10,No,1,,5,High,No Risk
119,19,Female,Graduate,Medium,96.7,,6.5,5.7,81.0,85,8,No,1,7.0,4,High,No Risk
120,18,Female,Graduate,High,81.3,1.7,6.8,1.7,75.0,61,1,No,4,6.0,6,Medium,No Risk
121,21,Female,Diploma,Medium,75.2,5.9,7.8,4.7,47.0,86,2,No,2,9.0,7,High,No Risk
122,23,Female,Graduate,Medium,67.5,4.7,4.4,5.4,66.0,85,6,No,3,8.0,8,High,No Risk
123,23,Male,High School,Medium,72.8,7.2,8.5,2.7,65.0,73,9,Yes,1,5.0,7,High,No Risk
124,21,Female,High School,Medium,73.5,2.3,6.4,2.3,84.0,99,3,No,4,9.0,5,High,No Risk
125,24,Female,Diploma,High,71.5,4.7,6.9,3.2,100.0,86,6,Yes,10,3.0,13,High,No Risk
126,22,Male,High School,Medium,67.9,4.5,6.9,2.0,78.0,73,8,No,2,7.0,10,High,No Risk
127,18,Female,,Medium,82.4,4.2,7.0,3.8,58.0,70,9,No,4,5.0,6,Medium,No Risk
128,24,Male,Postgraduate,Medium,96.7,3.8,5.4,1.9,74.0,66,6,No,4,5.0,10,High,No Risk
129,22,Male,High School,Medium,88.3,3.8,7.2,2.1,76.0,70,5,No,5,,8,High,No Risk
130,23,Male,Graduate,Medium,74.5,4.8,7.7,4.4,87.0,71,2,No,6,6.0,6,High,No Risk
131,22,Male,Diploma,Medium,89.2,5.0,4.5,4.5,95.0,68,6,Yes,10,10.0,9,High,No Risk
132,22,Male,Graduate,Medium,81.8,5.0,5.4,3.0,97.0,69,6,No,2,,5,High,No Risk
133,18,Female,Postgraduate,High,77.6,6.7,8.1,0.7,84.0,56,9,No,4,5.0,8,High,No Risk
134,22,Female,Graduate,Medium,76.9,2.3,7.9,5.5,76.0,65,6,Yes,2,9.0,5,Medium,No Risk
135,24,Female,High School,Low,75.8,1.2,7.4,2.7,98.0,51,8,Yes,1,10.0,5,Medium,No Risk
136,20,Male,High School,Medium,85.2,6.3,6.2,7.0,71.0,77,5,Yes,8,6.0,8,High,No Risk
137,22,Male,Diploma,Low,79.5,2.8,7.9,3.3,77.0,73,5,No,3,3.0,9,Medium,No Risk
138,18,Male,Postgraduate,Medium,70.0,3.8,5.6,3.7,72.0,70,1,Yes,3,9.0,8,Medium,No Risk
139,20,Female,Graduate,Medium,69.5,3.4,6.8,2.8,44.0,84,5,No,5,7.0,6,Medium,No Risk
140,21,Male,Diploma,Medium,81.4,3.4,5.4,3.9,95.0,61,3,No,5,4.0,7,Medium,No Risk
141,25,Female,High School,Medium,82.7,1.9,6.8,9.4,86.0,63,4,Yes,5,5.0,8,Medium,No Risk
142,19,Female,Postgraduate,Medium,74.6,3.5,5.8,2.9,40.0,53,10,Yes,9,8.0,7,Low,No Risk
143,20,Female,Diploma,Medium,65.5,5.7,7.9,5.7,91.0,85,7,No,7,7.0,11,High,No Risk
144,21,Female,Graduate,Medium,91.8,4.5,7.5,3.7,71.0,80,2,No,4,7.0,2,High,No Risk
145,25,Male,Graduate,Medium,89.4,5.4,6.3,5.5,91.0,89,6,Yes,2,8.0,8,High,No Risk
146,24,Female,High School,High,56.1,3.6,8.3,0.2,77.0,93,5,Yes,1,1.0,10,High,High Risk
147,18,Female,High School,Low,92.7,6.1,5.9,6.8,56.0,66,8,No,8,4.0,6,High,No Risk
148,19,Female,Diploma,Medium,75.7,3.6,7.0,4.1,76.0,63,3,No,8,6.0,6,Medium,No Risk
149,24,Female,Diploma,Low,80.1,0.7,6.3,3.0,63.0,49,7,Yes,7,3.0,7,Low,Medium Risk
150,18,Female,Graduate,Medium,90.5,5.1,7.9,5.0,58.0,58,8,No,8,8.0,9,Medium,No Risk
151,24,Female,,Low,96.2,5.9,7.8,3.7,89.0,68,8,Yes,7,3.0,8,High,No Risk
152,20,Male,High School,Medium,89.0,3.5,8.6,1.5,82.0,45,6,No,7,7.0,9,Medium,High Risk
153,25,Female,Diploma,Low,80.7,6.7,7.1,0.0,98.0,58,1,Yes,10,5.0,6,High,No Risk
154,20,Female,High School,Medium,62.9,3.0,4.0,6.6,70.0,71,8,No,6,,14,Medium,No Risk
155,21,Male,High School,Medium,55.7,5.7,6.5,3.1,62.0,84,10,No,10,,12,Medium,High Risk
156,23,Female,Graduate,Medium,87.7,7.6,8.9,2.5,86.0,63,7,Yes,8,8.0,8,High,No Risk
157,19,Male,Graduate,Low,92.8,,6.6,2.6,,74,6,No,5,3.0,13,High,No Risk
158,22,Female,Graduate,Medium,69.0,4.1,4.7,6.0,71.0,96,6,Yes,4,10.0,12,High,No Risk
159,22,Male,High School,High,75.0,4.3,7.5,2.7,84.0,49,1,Yes,2,10.0,3,Medium,High Risk
160,24,Male,Graduate,Low,71.9,7.4,7.6,4.6,74.0,86,10,Yes,4,2.0,14,High,No Risk
161,25,Female,Diploma,High,71.6,5.2,6.1,2.9,69.0,77,4,No,6,1.0,5,High,No Risk
162,23,Male,Postgraduate,Medium,89.8,8.4,6.7,1.4,55.0,88,8,No,7,3.0,7,High,No Risk
163,21,Male,Graduate,Medium,80.4,5.0,6.0,5.0,90.0,85,6,Yes,9,4.0,12,High,No Risk
164,21,Male,Postgraduate,Medium,75.5,3.3,7.6,5.4,70.0,63,7,Yes,2,10.0,9,Medium,No Risk
165,21,Male,High School,Low,100.0,3.4,7.1,2.3,85.0,72,1,Yes,2,1.0,7,High,No Risk
166,24,Female,Diploma,Medium,62.2,4.6,5.6,3.4,83.0,53,7,No,7,3.0,4,Medium,No Risk
167,20,Female,Graduate,Low,84.0,0.8,7.0,3.7,92.0,65,6,Yes,1,2.0,2,Medium,No Risk
168,19,Male,Diploma,Medium,66.5,3.6,6.1,4.3,72.0,72,5,No,9,9.0,1,Medium,No Risk
169,20,Female,Graduate,Medium,76.3,3.7,8.8,6.9,71.0,76,8,No,3,7.0,7,High,No Risk
170,18,Male,Diploma,High,79.6,4.9,8.1,2.9,59.0,82,7,No,6,6.0,8,High,No Risk
171,18,Female,Postgraduate,Medium,87.3,8.0,6.9,2.9,68.0,93,8,Yes,1,9.0,11,High,No Risk
172,18,Male,High School,High,75.1,4.6,7.1,3.2,,66,7,No,1,4.0,1,High,No Risk
173,24,Male,Postgraduate,Low,74.0,1.0,8.2,1.9,64.0,87,8,No,9,3.0,9,Medium,No Risk
174,23,Male,Diploma,Medium,74.9,2.9,6.8,0.6,81.0,75,9,No,7,8.0,7,Medium,No Risk
175,23,Female,Diploma,Medium,66.1,5.0,7.9,3.7,98.0,55,9,No,10,9.0,10,Medium,No Risk
176,21,Male,Diploma,Low,85.0,4.7,8.8,4.4,69.0,70,10,No,9,8.0,10,Medium,No Risk
177,23,Male,High School,Low,81.1,7.4,6.4,3.5,56.0,74,6,No,10,1.0,13,High,No Risk
178,19,Female,Postgraduate,Medium,82.8,6.2,9.0,3.4,70.0,61,5,Yes,2,,5,High,No Risk
179,25,Female,Postgraduate,Low,77.2,6.2,8.6,2.0,55.0,58,1,No,8,10.0,9,Medium,No Risk
180,22,Male,Postgraduate,Medium,75.9,4.1,7.3,3.9,96.0,58,7,Yes,7,1.0,4,Medium,No Risk
181,25,Female,Postgraduate,High,90.9,6.5,6.5,3.8,77.0,65,7,No,3,5.0,10,High,No Risk
182,19,Female,Graduate,Medium,89.2,2.9,7.3,4.3,65.0,61,3,No,2,8.0,8,Medium,No Risk
183,21,Male,Diploma,Low,93.6,6.2,6.7,4.1,68.0,88,1,Yes,4,9.0,6,High,No Risk
184,23,Female,Postgraduate,Low,82.1,4.0,6.0,4.2,58.0,40,9,Yes,9,7.0,10,Low,Medium Risk
185,21,Male,High School,Low,92.9,1.9,7.6,5.7,91.0,73,2,Yes,5,9.0,7,Medium,No Risk
186,21,Female,Graduate,Medium,73.4,5.6,5.8,4.5,100.0,79,8,Yes,3,2.0,7,High,No Risk
187,19,Male,Diploma,Medium,75.8,7.0,6.6,4.3,54.0,59,10,No,6,3.0,10,Medium,No Risk
188,21,Female,Graduate,Medium,91.1,3.8,6.6,0.5,92.0,69,10,Yes,7,1.0,10,High,No Risk
189,19,Male,Diploma,Low,87.3,7.3,5.4,5.3,72.0,68,3,No,7,9.0,5,High,No Risk
190,20,Male,Diploma,Medium,74.8,1.5,7.8,3.0,95.0,71,7,Yes,6,7.0,10,Medium,No Risk
191,23,Female,High School,Medium,66.5,2.3,6.7,3.6,48.0,81,10,Yes,4,10.0,9,Medium,No Risk
192,23,Male,Diploma,Medium,75.8,4.2,8.6,1.3,79.0,79,8,No,4,7.0,9,High,No Risk
193,22,Female,Diploma,High,70.5,3.8,6.7,7.1,70.0,64,3,Yes,4,7.0,3,Medium,No Risk
194,20,Female,High School,Medium,97.0,3.3,6.5,0.0,86.0,52,1,No,10,8.0,8,Medium,No Risk
195,25,Female,High School,Medium,86.4,4.7,5.9,6.0,77.0,74,6,No,5,5.0,10,High,No Risk
196,18,Male,Graduate,High,69.6,3.5,7.0,4.2,76.0,63,7,No,10,9.0,10,Medium,No Risk
197,20,Female,Diploma,Medium,66.5,3.9,7.1,0.3,74.0,65,2,No,4,10.0,4,Medium,No Risk
198,18,Male,Graduate,Medium,69.4,5.0,7.9,7.0,99.0,75,4,No,4,,7,High,No Risk
199,20,Male,High School,Medium,71.9,3.3,7.1,4.4,73.0,66,5,No,4,4.0,8,Medium,No Risk
200,25,Female,Graduate,Medium,76.2,4.3,9.5,0.0,89.0,76,6,Yes,4,7.0,6,High,No Risk
201,20,Female,High School,Medium,90.3,3.3,7.5,2.8,85.0,100,1,Yes,4,10.0,10,High,No Risk
202,25,Female,Diploma,Medium,67.4,2.3,5.8,4.4,89.0,81,4,Yes,7,6.0,9,Medium,No Risk
203,21,Male,Graduate,Medium,100.0,5.9,5.7,6.4,61.0,89,9,No,10,8.0,8,High,No Risk
204,23,Female,Graduate,Medium,67.6,7.6,7.6,2.8,87.0,79,3,Yes,3,6.0,7,High,No Risk
205,21,Female,Diploma,Medium,62.5,6.4,5.8,0.0,81.0,73,9,Yes,4,5.0,7,High,No Risk
206,20,Male,Diploma,High,96.6,5.1,7.7,6.0,58.0,79,9,Yes,4,10.0,14,High,No Risk
207,24,Female,High School,Low,92.5,3.3,8.1,4.3,73.0,78,9,Yes,3,4.0,14,High,No Risk
208,25,Male,Diploma,Low,76.0,4.0,8.1,0.0,100.0,83,6,Yes,1,1.0,4,High,No Risk
209,20,Male,Diploma,Medium,82.2,6.4,6.0,4.1,70.0,73,4,No,1,8.0,6,High,No Risk
210,24,Female,Graduate,Medium,82.5,0.5,8.1,4.3,70.0,55,3,No,1,6.0,9,Medium,No Risk
211,20,Female,Diploma,Medium,79.5,3.8,7.4,2.9,83.0,53,6,No,2,1.0,13,Medium,No Risk
212,23,Male,Graduate,Low,63.7,5.8,6.3,2.1,68.0,78,8,No,7,3.0,6,Medium,No Risk
213,24,Male,Diploma,Medium,50.7,2.5,6.8,2.5,78.0,57,9,No,2,8.0,5,Medium,High Risk
214,21,Male,High School,Medium,68.7,5.3,7.6,2.9,69.0,81,1,No,4,8.0,10,High,No Risk
215,23,Female,High School,Low,98.0,5.2,6.2,4.1,82.0,89,10,Yes,5,6.0,4,High,No Risk
216,20,Male,High School,Medium,98.4,1.9,7.4,4.8,,69,3,No,1,8.0,7,High,No Risk
217,18,Male,Diploma,Medium,75.1,4.7,8.7,0.0,100.0,88,3,No,5,10.0,10,High,No Risk
218,18,Female,Graduate,Medium,67.5,3.4,8.2,3.9,,75,4,No,10,,10,Medium,No Risk
219,21,Male,Graduate,Medium,81.1,5.2,7.1,4.3,73.0,72,4,Yes,1,,5,High,No Risk
220,25,Female,Diploma,Low,82.8,5.7,7.3,3.8,91.0,73,2,Yes,3,8.0,4,High,No Risk
221,19,Male,,Medium,84.6,5.2,6.4,2.8,55.0,61,4,Yes,1,4.0,4,High,No Risk
222,21,Female,Postgraduate,Low,50.2,4.6,6.4,5.9,100.0,60,9,Yes,3,7.0,9,Medium,High Risk
223,23,Male,High School,Low,100.0,5.0,5.2,5.8,61.0,51,1,No,9,6.0,2,Medium,No Risk
224,19,Male,Diploma,High,90.5,2.4,7.3,2.9,94.0,62,7,No,6,10.0,10,Medium,No Risk
225,23,Male,Postgraduate,Low,75.8,4.4,7.8,3.4,98.0,100,9,No,4,1.0,6,High,No Risk
226,20,Female,Diploma,Low,70.1,3.1,6.9,4.8,68.0,53,7,No,9,9.0,4,Low,No Risk
227,24,Female,High School,High,88.9,6.4,5.9,5.7,70.0,57,5,No,10,10.0,5,Medium,No Risk
228,22,Male,High School,Medium,83.4,5.7,7.1,2.1,74.0,62,6,No,9,8.0,8,Medium,No Risk
229,22,Male,Graduate,Medium,79.0,,8.6,1.7,85.0,62,6,No,6,10.0,5,High,No Risk
230,19,Female,High School,Medium,83.0,7.6,8.1,4.0,61.0,76,4,No,4,2.0,10,High,No Risk
231,21,Male,Graduate,High,76.8,3.9,7.0,1.6,74.0,64,9,Yes,6,10.0,5,Medium,No Risk
232,24,Male,Diploma,Low,82.4,3.5,9.5,0.2,71.0,69,7,No,8,10.0,7,Medium,No Risk
233,18,Female,Diploma,Low,86.0,3.9,10.0,2.1,59.0,61,1,No,5,10.0,12,Medium,No Risk
234,24,Male,High School,High,81.8,1.6,6.4,4.2,60.0,66,8,Yes,6,8.0,1,Medium,No Risk
235,21,Male,Graduate,Medium,81.2,1.8,6.7,6.1,78.0,71,3,No,8,4.0,8,Medium,No Risk
236,23,Male,Diploma,High,93.3,5.6,7.8,2.3,78.0,70,6,No,6,9.0,11,High,No Risk
237,23,Male,Graduate,Medium,60.4,2.0,5.9,3.3,65.0,98,2,No,8,1.0,11,Medium,No Risk
